"BehaviorSpace results (NetLogo 6.1.1)"
"evacuation_scenario.nlogo"
"app-T-F,rooms-T-F,shooting-T,peace-350,visib-0,sound-0"
"03/25/2020 13:54:35:674 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","43","0","14"
"[run number]","rooms","app-info?","shooting?","num-peacefuls","visibility-mod","sound-mod","num-violents","shoot-noise","attack-prob","attackers-efectivity","attackers-speed","initial-positions","leaders-percentage","app-percentage","defense-prob","not-alerted-speed","mean-speed","max-speed-deviation","max-iter","app-mode","first-blood","crowd-running","what-is-a-crowd?","[step]","not-app-killed","app-killed","app-killed + not-app-killed","not-app-accident","app-accident","not-app-accident + app-accident","not-app-in-secure-room","app-in-secure-room","not-app-in-secure-room + not-app-in-secure-room","not-app-rescued","app-rescued","not-app-rescued + app-rescued"
"2","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","104","19","7","26","1","1","2","112","101","224","54","55","109"
"8","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","98","14","16","30","0","0","0","122","92","244","53","53","106"
"10","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","139","11","17","28","1","2","3","110","119","220","35","55","90"
"9","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","111","10","13","23","0","0","0","121","133","242","35","38","73"
"7","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","132","17","6","23","1","0","1","132","124","264","40","30","70"
"11","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","181","9","20","29","3","0","3","120","125","240","42","31","73"
"1","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","200","13","12","25","0","0","0","115","112","230","49","49","98"
"12","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","167","12","13","25","0","1","1","130","109","260","38","47","85"
"6","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","209","11","13","24","0","1","1","130","116","260","41","38","79"
"4","true","true","true","350","0","0","2","0.5","0.5","0.5","0.8","[0 73]","0.2","50","0.1","0.5","2","0.15","500","2","true","true","20","258","13","12","25","0","2","2","129","113","258","32","49","81"
